rank,player,salary
234,Taylor Hendricks,6127080
235,Zach Edey,6045000
236,Khaman Maluach,6016080
T237,Jaden Hardy,6000000
T237,Jake LaRavia,6000000
239,Cam Thomas,5993172
240,Cason Wallace,5820487
241,Cody Williams,5742480
242,Cedric Coward,5715120
T243,D'Angelo Russell,5685000
T243,Al Horford,5685000
245,Tari Eason,5675766
246,H. Highsmith,5616000
247,Nicolas Batum,5601600
248,Jett Howard,5529506
249,G. Yabusele,5500000
250,Matas Buzelis,5455560
251,Noa Essengue,5429520
T252,Dario Saric,5426400
T252,Kris Dunn,5426400
254,Dalen Terry,5399118
256,Paul Reed,5335894
257,Dereck Lively,5253191
258,Nikola Topic,5182920
259,Derik Queen,5157960
T260,Kevin Porter,5134000
T262,Nick Richards,5000000
T262,Moritz Wagner,5000000
T262,Andre Drummond,5000000
265,Gradey Dick,4990379
266,Malaki Branham,4962033
267,Devin Carter,4923720
268,Christian Braun,4921797
269,Carter Bryant,4900320
270,Walker Kessler,4878938
271,Jordan Hawkins,4741216
272,C. Carrington,4677600
273,Thomas Sorber,4655040
274,Kobe Bufkin,4503668
275,Jose Alvarado,4500000
276,Nikola Jovic,4445417
277,Kel'el Ware,4443360
278,Hansen Yang,4422360
279,Peyton Watson,4356476
280,Miles McBride,4333333
281,Keyonte George,4278754
282,Jared McCain,4221360
283,Joan Beringer,4201080
284,Daniss Jenkins,4169843
285,Kevin Love,4150000
286,Dalton Knecht,4010160
T287,Ryan Rollins,4000000
T287,Dwight Powell,4000000
289,W. Clayton,3991320
290,Jaime Jaquez,3861600
291,Nolan Traore,3811560
292,Tristan da Silva,3809520
293,Dominick Barlow,3765668
294,Cole Anthony,3700000
T295,Taurean Prince,3697105
T295,Gary Trent Jr,3697105
297,B. Podziemski,3687960
298,S. Mykhailiuk,3675000
299,K. Jakucionis,3658800
300,Ja'Kobe Walter,3638160
T301,Eric Gordon,3634153
T301,Mason Plumlee,3634153
T301,Chris Paul,3634153
T301,R. Westbrook,3634153
T301,Bismack Biyombo,3634153
T301,Doug McDermott,3634153
T301,Kyle Lowry,3634153
T301,S. Dinwiddie,3634153
T301,Tim Hardaway Jr,3634153
T301,Gary Harris,3634153
T301,Larry Nance Jr,3634153
T301,Garrett Temple,3634153
T301,Joe Ingles,3634153
T301,Jeff Green,3634153
316,DeAndre Jordan,3571495
317,Cameron Whitmore,3539976
318,Will Riley,3512520
319,Jaylon Tyson,3492480
320,Jaxson Hayes,3449323
321,Noah Clowney,3398406
322,Drake Powell,3372240
323,Yves Missi,3353040
324,Blake Wesley,3347458
T325,Dante Exum,3303774
T325,Gary Payton II,3303774
T327,Chris Boucher,3287409
T327,Thomas Bryant,3287409
329,Dariq Whitehead,3262560
